wavenumber, 25C 0_ MeOH, 25C 20MeOH 1WEEK, 50C 0_ MeOH 1WEEK, 50C 0_MeOH 4WEEK, 50C 10MeOH 4WEEK, 50C 20MeOH 1WEEK, 50C 20MeOH 4WEEK, 80C 0_MeOH  4WEEK, 80C 0_MeOH 1WEEK, 80C 10MeOH 1WEEK, 80C 10_MeOH 4WEEK, 80C 20ME 1WEEK, 80C 20MeOH 1WEEK, 80C 20_MeOH 4WEEK
399.1927,0,0,0,0,0,0,0,0,0.1650828,0,0,0,0,0
401.1211,0,0,0,0,0,0,0,0,0.1629243,0,0,0,0,0
403.0496,0,0,0,0,0,0,0,0,0.1606181,0,0,0,0,0
404.9781,0,0,0,0,0,0,0,0,0.1587365,0,0,0,0,0
406.9065,0,0,0,0,0,0,0,0,0.1571976,0,0,0,0,0
408.835,0,0,0,0,0,0,0,0,0.1553332,0,0,0,0,0
410.7635,0,0,0,0,0,0,0,0,0.1538109,0,0,0,0,0
412.6919,0,0,0,0,0,0,0,0,0.1526342,0,0,0,0,0
414.6204,0,0,0,0,0,0,0,0,0.1505146,0,0,0,0,0
416.5489,0,0,0,0,0,0,0,0,0.1488718,0,0,0,0,0
418.4773,0,0,0,0,0,0,0,0,0.1474908,0,0,0,0,0
420.4058,0,0,0,0,0,0,0,0,0.1469711,0,0,0,0,0
422.3343,0,0,0,0,0,0,0,0,0.1466785,0,0,0,0,0
424.2627,0,0,0,0,0,0,0,0,0.1459976,0,0,0,0,0
426.1912,0,0,0,0,0,0,0,0,0.1439194,0,0,0,0,0
428.1197,0,0,0,0,0,0,0,0,0.1415753,0,0,0,0,0
430.0481,0,0,0,0,0,0,0,0,0.1415657,0,0,0,0,0
431.9766,0,0,0,0,0,0,0,0,0.141353,0,0,0,0,0
433.9051,0,0,0,0,0,0,0,0,0.1403152,0,0,0,0,0
435.8335,0,0,0,0,0,0,0,0,0.1395496,0,0,0,0,0
437.762,0,0,0,0,0,0,0,0,0.13926,0,0,0,0,0
439.6905,0,0,0,0,0,0,0,0,0.139299,0,0,0,0,0
441.6189,0,0,0,0,0,0,0,0,0.1391202,0,0,0,0,0
443.5474,0,0,0,0,0,0,0,0,0.1385048,0,0,0,0,0
445.4759,0,0,0,0,0,0,0,0,0.1377033,0,0,0,0,0
447.4043,0,0,0,0,0,0,0,0,0.13626,0,0,0,0,0
449.3328,0,0,0,0,0,0,0,0,0.1348632,0,0,0,0,0
451.2613,0,0,0,0,0,0,0,0,0.1344785,0,0,0,0,0
453.1897,0,0,0,0,0,0,0,0,0.1340547,0,0,0,0,0
455.1182,0,0,0,0,0,0,0,0,0.1336442,0,0,0,0,0
457.0467,0,0,0,0,0,0,0,0,0.1333207,0,0,0,0,0
458.9751,0,0,0,0,0,0,0,0,0.132236,0,0,0,0,0
460.9036,0,0,0,0,0,0,0,0,0.1314186,0,0,0,0,0
462.8321,0,0,0,0,0,0,0,0,0.1317601,0,0,0,0,0
464.7605,0,0,0,0,0,0,0,0,0.1323241,0,0,0,0,0
466.689,0,0,0,0,0,0,0,0,0.1333793,0,0,0,0,0
468.6175,0,0,0,0,0,0,0,0,0.1340712,0,0,0,0,0
470.5459,0,0,0,0,0,0,0,0,0.1339791,0,0,0,0,0
472.4744,0,0,0,0,0,0,0,0,0.1333883,0,0,0,0,0
474.4029,0,0,0,0,0,0,0,0,0.1334214,0,0,0,0,0
476.3313,0,0,0,0,0,0,0,0,0.1345706,0,0,0,0,0
478.2598,0,0,0,0,0,0,0,0,0.1362998,0,0,0,0,0
480.1883,0,0,0,0,0,0,0,0,0.1364361,0,0,0,0,0
482.1167,0,0,0,0,0,0,0,0,0.1353019,0,0,0,0,0
484.0452,0,0,0,0,0,0,0,0,0.1353569,0,0,0,0,0
485.9737,0,0,0,0,0,0,0,0,0.1362325,0,0,0,0,0
487.9021,0,0,0,0,0,0,0,0,0.1369694,0,0,0,0,0
489.8306,0,0,0,0,0,0,0,0,0.1375363,0,0,0,0,0
491.7591,0,0,0,0,0,0,0,0,0.1386354,0,0,0,0,0
493.6875,0,0,0,0,0,0,0,0,0.1396434,0,0,0,0,0
495.616,0,0,0,0,0,0,0,0,0.1405031,0,0,0,0,0
497.5445,0,0,0,0,0,0,0,0,0.1419794,0,0,0,0,0
499.4729,0,0,0,0,0,0,0,0,0.1425785,0,0,0,0,0
501.4014,0,0,0,0,0,0,0,0,0.1415892,0,0,0,0,0
503.3299,0,0,0,0,0,0,0,0,0.1413179,0,0,0,0,0
505.2583,0,0,0,0,0,0,0,0,0.1407194,0,0,0,0,0
507.1868,0,0,0,0,0,0,0,0,0.139834,0,0,0,0,0
