wavenumber, 25C 0_ MeOH, 25C 20MeOH 1WEEK, 50C 0_ MeOH 4WEEK, 50C 0_MeOH 1WEEK, 50C 10_MeOH 4WEEK, 50C 20MeOH 1WEEK, 50C 20_MeOH 4WEEK, 80C 0_ MeOH 4WEEK, 80C 0_MeOH 1WEEK, 80C 10MeOH 4WEEK, 80C 10_MeOH 1WEEK, 80C 20_MeOH 1WEEK, 80C 20_MeOH 4WEEK
399.1927,0,0,0,0,0,0,0,0,0,0,0,0,0
401.1211,0,0,0,0,0,0,0,0,0,0,0,0,0
403.0496,0,0,0,0,0,0,0,0,0,0,0,0,0
404.9781,0,0,0,0,0,0,0,0,0,0,0,0,0
406.9065,0,0,0,0,0,0,0,0,0,0,0,0,0
408.835,0,0,0,0,0,0,0,0,0,0,0,0,0
410.7635,0,0,0,0,0,0,0,0,0,0,0,0,0
412.6919,0,0,0,0,0,0,0,0,0,0,0,0,0
414.6204,0,0,0,0,0,0,0,0,0,0,0,0,0
416.5489,0,0,0,0,0,0,0,0,0,0,0,0,0
418.4773,0,0,0,0,0,0,0,0,0,0,0,0,0
420.4058,0,0,0,0,0,0,0,0,0,0,0,0,0
422.3343,0,0,0,0,0,0,0,0,0,0,0,0,0
424.2627,0,0,0,0,0,0,0,0,0,0,0,0,0
426.1912,0,0,0,0,0,0,0,0,0,0,0,0,0
428.1197,0,0,0,0,0,0,0,0,0,0,0,0,0
430.0481,0,0,0,0,0,0,0,0,0,0,0,0,0
431.9766,0,0,0,0,0,0,0,0,0,0,0,0,0
433.9051,0,0,0,0,0,0,0,0,0,0,0,0,0
435.8335,0,0,0,0,0,0,0,0,0,0,0,0,0
437.762,0,0,0,0,0,0,0,0,0,0,0,0,0
439.6905,0,0,0,0,0,0,0,0,0,0,0,0,0
441.6189,0,0,0,0,0,0,0,0,0,0,0,0,0
443.5474,0,0,0,0,0,0,0,0,0,0,0,0,0
445.4759,0,0,0,0,0,0,0,0,0,0,0,0,0
447.4043,0,0,0,0,0,0,0,0,0,0,0,0,0
449.3328,0,0,0,0,0,0,0,0,0,0,0,0,0
451.2613,0,0,0,0,0,0,0,0,0,0,0,0,0
453.1897,0,0,0,0,0,0,0,0,0,0,0,0,0
455.1182,0,0,0,0,0,0,0,0,0,0,0,0,0
457.0467,0,0,0,0,0,0,0,0,0,0,0,0,0
458.9751,0,0,0,0,0,0,0,0,0,0,0,0,0
460.9036,0,0,0,0,0,0,0,0,0,0,0,0,0
462.8321,0,0,0,0,0,0,0,0,0,0,0,0,0
464.7605,0,0,0,0,0,0,0,0,0,0,0,0,0
466.689,0,0,0,0,0,0,0,0,0,0,0,0,0
468.6175,0,0,0,0,0,0,0,0,0,0,0,0,0
470.5459,0,0,0,0,0,0,0,0,0,0,0,0,0
472.4744,0,0,0,0,0,0,0,0,0,0,0,0,0
474.4029,0,0,0,0,0,0,0,0,0,0,0,0,0
476.3313,0,0,0,0,0,0,0,0,0,0,0,0,0
478.2598,0,0,0,0,0,0,0,0,0,0,0,0,0
480.1883,0,0,0,0,0,0,0,0,0,0,0,0,0
482.1167,0,0,0,0,0,0,0,0,0,0,0,0,0
484.0452,0,0,0,0,0,0,0,0,0,0,0,0,0
485.9737,0,0,0,0,0,0,0,0,0,0,0,0,0
487.9021,0,0,0,0,0,0,0,0,0,0,0,0,0
489.8306,0,0,0,0,0,0,0,0,0,0,0,0,0
491.7591,0,0,0,0,0,0,0,0,0,0,0,0,0
493.6875,0,0,0,0,0,0,0,0,0,0,0,0,0
495.616,0,0,0,0,0,0,0,0,0,0,0,0,0
497.5445,0,0,0,0,0,0,0,0,0,0,0,0,0
499.4729,0,0,0,0,0,0,0,0,0,0,0,0,0
501.4014,0,0,0,0,0,0,0,0,0,0,0,0,0
503.3299,0,0,0,0,0,0,0,0,0,0,0,0,0
505.2583,0,0,0,0,0,0,0,0,0,0,0,0,0
507.1868,0,0,0,0,0,0,0,0,0,0,0,0,0
509.1153,0,0,0,0,0,0,0,0,0,0,0,0,0
511.0437,0,0,0,0,0,0,0,0,0,0,0,0,0
512.9722,0,0,0,0,0,0,0,0,0,0,0,0,0
514.9006,0,0,0,0,0,0,0,0,0,0,0,0,0
516.8291,0,0,0,0,0,0,0,0,0,0,0,0,0
518.7576,0,0,0,0,0,0,0,0,0,0,0,0,0
520.686,0,0,0,0,0,0,0,0,0,0,0,0,0
522.6145,0,0,0,0,0,0,0,0,0,0,0,0,0
524.543,0,0,0,0,0,0,0,0,0,0,0,0,0
526.4714,0,0,0,0,0,0,0,0,0,0,0,0,0
528.3999,0,0,0,0,0,0,0,0,0,0,0,0,0
530.3284,0,0,0,0,0,0,0,0,0,0,0,0,0
532.2568,0,0,0,0,0,0,0,0,0,0,0,0,0
534.1853,0,0,0,0,0,0,0,0,0,0,0,0,0
536.1138,0,0,0,0,0,0,0,0,0,0,0,0,0
538.0422,0,0,0,0,0,0,0,0,0,0,0,0,0
539.9707,0,0,0,0,0,0,0,0,0,0,0,0,0
541.8992,0,0,0,0,0,0,0,0,0,0,0,0,0
543.8276,0,0,0,0,0,0,0,0,0,0,0,0,0
545.7561,0,0,0,0,0,0,0,0,0,0,0,0,0
547.6846,0,0,0,0,0,0,0,0,0,0,0,0,0
549.613,0,0,0,0,0,0,0,0,0,0,0,0,0
551.5415,0,0,0,0,0,0,0,0,0,0,0,0,0
553.47,0,0,0,0,0,0,0,0,0,0,0,0,0
555.3984,0,0,0,0,0,0,0,0,0,0,0,0,0
557.3269,0,0,0,0,0,0,0,0,0,0,0,0,0
559.2554,0,0,0,0,0,0,0,0,0,0,0,0,0
561.1838,0,0,0,0,0,0,0,0,0,0,0,0,0
563.1123,0,0,0,0,0,0,0,0,0,0,0,0,0
565.0408,0,0,0,0,0,0,0,0,0,0,0,0,0
566.9692,0,0,0,0,0,0,0,0,0,0,0,0,0
568.8977,0,0,0,0,0,0,0,0,0,0,0,0,0
570.8262,0,0,0,0,0,0,0,0,0,0,0,0,0
572.7546,0,0,0,0,0,0,0,0,0,0,0,0,0
574.6831,0,0,0,0,0,0,0,0,0,0,0,0,0
576.6116,0,0,0,0,0,0,0,0,0,0,0,0,0
578.54,0,0,0,0,0,0,0,0,0,0,0,0,0
580.4685,0,0,0,0,0,0,0,0,0,0,0,0,0
582.397,0,0,0,0,0,0,0,0,0,0,0,0,0
584.3254,0,0,0,0,0,0,0,0,0,0,0,0,0
586.2539,0,0,0,0,0,0,0,0,0,0,0,0,0
588.1824,0,0,0,0,0,0,0,0,0,0,0,0,0
590.1108,0,0,0,0,0,0,0,0,0,0,0,0,0
592.0393,0,0,0,0,0,0,0,0,0,0,0,0,0
593.9678,0,0,0,0,0,0,0,0,0,0,0,0,0
595.8962,0,0,0,0,0,0,0,0,0,0,0,0,0
597.8247,0,0,0,0,0,0,0,0,0,0,0,0,0
599.7532,0,0,0,0,0,0,0,0,0,0,0,0,0
601.6816,0,0,0,0,0,0,0,0,0,0,0,0,0
603.6101,0,0,0,0,0,0,0,0,0,0,0,0,0
605.5386,0,0,0,0,0,0,0,0,0,0,0,0,0
607.467,0,0,0,0,0,0,0,0,0,0,0,0,0
609.3955,0,0,0,0,0,0,0,0,0,0,0,0,0
611.324,0,0,0,0,0,0,0,0,0,0,0,0,0
613.2524,0,0,0,0,0,0,0,0,0,0,0,0,0
615.1809,0,0,0,0,0,0,0,0,0,0,0,0,0
617.1094,0,0,0,0,0,0,0,0,0,0,0,0,0
619.0378,0,0,0,0,0,0,0,0,0,0,0,0,0
620.9663,0,0,0,0,0,0,0,0,0,0,0,0,0
622.8948,0,0,0,0,0,0,0,0,0,0,0,0,0
624.8232,0,0,0,0,0,0,0,0,0,0,0,0,0
626.7517,0,0,0,0,0,0,0,0,0,0,0,0,0
628.6802,0,0,0,0,0,0,0,0,0,0,0,0,0
630.6086,0,0,0,0,0,0,0,0,0,0,0,0,0
632.5371,0,0,0,0,0,0,0,0,0,0,0,0,0
634.4656,0,0,0,0,0,0,0,0,0,0,0,0,0
636.394,0,0,0,0,0,0,0,0,0,0,0,0,0
638.3225,0,0,0,0,0,0,0,0,0,0,0,0,0
640.251,0,0,0,0,0,0,0,0,0,0,0,0,0
642.1794,0,0,0,0,0,0,0,0,0,0,0,0,0
644.1079,0,0,0,0,0,0,0,0,0,0,0,0,0
646.0364,0,0,0,0,0,0,0,0,0,0,0,0,0
647.9648,0,0,0,0,0,0,0,0,0,0,0,0,0
649.8933,0.3816248,0.3790751,0.3825684,0.3820148,0.3869075,0.3776305,0.3756398,0.3834406,0.378636,0.3840698,0.3823163,0.3750729,0.3801492
651.8218,0.3786729,0.3772663,0.380248,0.3793864,0.3839873,0.3767885,0.3754137,0.3822625,0.3774443,0.382308,0.379268,0.37405,0.380123
653.7502,0.3761364,0.3741325,0.3772983,0.3757498,0.3785602,0.3756704,0.3737091,0.3790449,0.3750896,0.3793956,0.3755482,0.3728133,0.377896
655.6787,0.373176,0.3719758,0.3755268,0.3722277,0.374726,0.3730424,0.3710768,0.3748056,0.3729598,0.3768065,0.3727473,0.3700062,0.3741704
657.6072,0.3701296,0.3705069,0.3729105,0.3694308,0.3737866,0.3693283,0.3685509,0.3713619,0.3694787,0.3746319,0.3714668,0.3665231,0.3706275
659.5356,0.3686799,0.3679456,0.3700853,0.3695921,0.373088,0.3678543,0.3677289,0.369445,0.3664659,0.3719988,0.3709294,0.3643841,0.3687395
